Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,battery_id
2024-01-01 11:00:00,3,Rest,00:31:00,00:53:00,567,High,CC-CV,3.76,-1.31,35.1,0.513,1.25,23,Pack-01
2024-01-01 11:30:00,3,Charging,00:41:00,00:31:00,84,High,CC,4.11,0.57,32.0,1.541,2.09,24,Pack-01
2024-01-01 12:00:00,2,Charging,00:16:00,00:14:00,68,High,CC,3.51,1.04,44.3,0.92,2.06,25,Pack-01
2024-01-01 12:30:00,1,Discharging,00:26:00,00:49:00,87,Low,CC,3.59,1.3,26.5,1.957,8.9,26,Pack-01
2024-01-01 13:00:00,1,Charging,00:28:00,00:47:00,769,Medium,CC,4.11,-1.93,27.9,2.231,2.07,27,Pack-01
2024-01-01 13:30:00,2,Discharging,00:31:00,00:56:00,811,High,CC-CV,3.88,1.47,44.8,2.231,7.51,28,Pack-01
2024-01-01 14:00:00,2,Charging,00:31:00,00:18:00,690,Medium,Rest,3.92,-0.3,32.3,1.537,6.2,29,Pack-01
2024-01-01 14:30:00,1,Rest,00:36:00,00:35:00,813,High,Rest,4.06,0.38,42.2,2.225,1.56,30,Pack-01
2024-01-01 15:00:00,3,Charging,00:53:00,00:13:00,609,Low,CC,3.74,-0.91,36.4,1.506,5.83,31,Pack-01
2024-01-01 15:30:00,2,Discharging,00:36:00,00:10:00,161,High,Rest,4.19,0.53,37.1,1.031,6.22,32,Pack-01
2024-01-01 16:00:00,1,Rest,00:28:00,00:54:00,326,High,CC,4.15,0.55,27.8,1.03,3.82,33,Pack-01
2024-01-01 16:30:00,3,Charging,00:19:00,00:30:00,303,Low,Rest,3.9,-0.86,41.1,2.16,7.55,34,Pack-01
2024-01-01 17:00:00,1,Charging,00:22:00,00:51:00,249,Medium,CC-CV,4.01,1.36,33.9,2.446,6.59,35,Pack-01
2024-01-01 17:30:00,1,Discharging,00:52:00,00:37:00,701,Medium,CC-CV,4.12,1.47,21.8,1.33,5.15,36,Pack-01
2024-01-01 18:00:00,3,Charging,00:20:00,00:27:00,930,Low,Rest,3.7,-1.61,26.7,2.406,3.04,37,Pack-01
2024-01-01 18:30:00,2,Discharging,00:51:00,00:52:00,413,High,CC,3.53,1.5,20.6,2.087,2.15,38,Pack-01
2024-01-01 19:00:00,3,Charging,00:39:00,00:32:00,85,Medium,CC-CV,3.53,0.13,27.5,2.027,4.21,39,Pack-01
2024-01-01 19:30:00,1,Charging,00:20:00,00:26:00,911,Low,CC-CV,4.17,0.97,34.0,0.603,5.75,40,Pack-01
2024-01-01 20:00:00,3,Discharging,00:58:00,00:29:00,696,Medium,Rest,3.8,0.06,38.3,0.656,5.12,41,Pack-01
2024-01-01 20:30:00,3,Discharging,00:56:00,00:50:00,154,Medium,Rest,3.6,1.23,22.2,1.173,8.41,42,Pack-01
2024-01-01 21:00:00,2,Rest,00:23:00,00:28:00,405,Low,CC-CV,3.72,1.43,35.9,0.525,3.55,43,Pack-01
2024-01-01 21:30:00,3,Rest,00:30:00,00:43:00,556,High,CC-CV,3.6,0.7,32.3,1.961,6.72,44,Pack-01
2024-01-01 22:00:00,3,Rest,00:39:00,00:42:00,150,Medium,CC-CV,3.56,-1.59,43.8,1.712,5.06,45,Pack-01
2024-01-01 22:30:00,3,Charging,00:44:00,00:54:00,779,Low,Rest,3.88,-1.68,22.9,2.292,8.28,46,Pack-01
2024-01-01 23:00:00,3,Discharging,00:46:00,00:48:00,434,Medium,Rest,3.84,0.55,21.2,0.67,8.27,47,Pack-01
2024-01-01 23:30:00,2,Charging,00:20:00,00:13:00,496,Low,Rest,3.55,1.83,36.8,0.743,3.24,48,Pack-01
2024-01-02 00:00:00,1,Discharging,00:34:00,00:47:00,953,High,CC,3.83,-1.07,31.4,2.353,8.65,49,Pack-01
2024-01-02 00:30:00,1,Charging,00:28:00,00:39:00,713,Medium,CC-CV,3.98,-0.99,39.8,2.226,7.86,50,Pack-01
2024-01-02 01:00:00,1,Discharging,00:25:00,00:54:00,802,Low,Rest,3.74,-0.21,28.4,0.671,3.54,51,Pack-01
2024-01-02 01:30:00,2,Discharging,00:53:00,00:13:00,542,Medium,Rest,3.51,-1.18,22.4,2.16,6.04,52,Pack-01
2024-01-02 02:00:00,1,Charging,00:16:00,00:37:00,774,Medium,CC-CV,3.51,-0.7,26.7,1.315,6.74,53,Pack-01
2024-01-02 02:30:00,2,Discharging,00:58:00,00:53:00,29,Medium,CC,4.13,-1.88,26.9,1.6,3.13,54,Pack-01
2024-01-02 03:00:00,3,Charging,00:30:00,00:44:00,830,Medium,CC-CV,4.08,-0.3,22.7,0.912,3.58,55,Pack-01
2024-01-02 03:30:00,2,Discharging,00:43:00,00:20:00,874,High,CC,3.98,1.98,37.5,1.918,2.82,56,Pack-01
2024-01-02 04:00:00,1,Charging,00:26:00,00:15:00,569,Medium,CC,4.13,-0.9,27.6,2.173,3.88,57,Pack-01
2024-01-02 04:30:00,2,Discharging,00:29:00,00:20:00,652,Medium,CC-CV,4.01,1.66,33.7,0.981,9.95,58,Pack-01
2024-01-02 05:00:00,1,Discharging,00:45:00,00:20:00,491,Medium,CC-CV,3.93,1.39,40.7,0.549,1.76,59,Pack-01
2024-01-02 05:30:00,3,Charging,00:45:00,00:21:00,555,High,Rest,3.74,-0.79,32.2,2.265,1.08,60,Pack-01
2024-01-02 06:00:00,3,Discharging,00:30:00,00:52:00,435,Medium,Rest,3.54,1.35,33.9,2.04,1.48,61,Pack-01
2024-01-02 06:30:00,1,Charging,00:33:00,00:31:00,483,Medium,Rest,4.16,0.11,43.1,0.977,5.32,62,Pack-01
2024-01-02 07:00:00,3,Rest,00:39:00,00:26:00,828,High,Rest,3.71,-0.68,35.3,1.988,2.18,63,Pack-01
2024-01-02 07:30:00,2,Discharging,00:57:00,00:12:00,403,Medium,CC,3.61,-1.41,35.1,1.902,9.65,64,Pack-01
2024-01-02 08:00:00,2,Discharging,00:39:00,00:26:00,856,Medium,CC-CV,3.52,0.62,41.2,1.316,7.59,65,Pack-01
2024-01-02 08:30:00,3,Discharging,00:23:00,00:48:00,413,Low,CC-CV,3.89,0.15,25.3,1.949,1.68,66,Pack-01
2024-01-02 09:00:00,2,Rest,00:45:00,00:35:00,665,Low,Rest,3.96,1.34,22.2,2.443,5.59,67,Pack-01
2024-01-02 09:30:00,3,Discharging,00:34:00,00:39:00,123,Medium,CC,4.19,0.68,43.4,2.431,6.27,68,Pack-01
2024-01-02 10:00:00,3,Rest,00:45:00,00:58:00,127,Low,CC,4.15,1.19,33.9,2.475,5.19,69,Pack-01
2024-01-02 10:30:00,3,Rest,00:25:00,00:16:00,958,Low,CC-CV,3.73,0.81,22.5,0.603,8.24,70,Pack-01
2024-01-02 11:00:00,2,Charging,00:40:00,00:23:00,29,High,CC,3.81,1.05,28.0,0.55,9.63,71,Pack-01
2024-01-02 11:30:00,3,Rest,00:20:00,00:40:00,302,Medium,Rest,3.71,0.21,28.7,1.564,1.47,72,Pack-01
2024-01-02 12:00:00,3,Rest,00:20:00,00:57:00,206,Low,Rest,4.02,-1.28,22.1,1.455,3.51,73,Pack-01
2024-01-02 12:30:00,2,Discharging,00:10:00,00:11:00,360,High,CC,3.79,-0.2,33.2,1.484,8.57,74,Pack-01
2024-01-02 13:00:00,3,Charging,00:32:00,00:35:00,642,Medium,CC,3.72,-1.62,30.6,0.937,4.54,75,Pack-01
2024-01-02 13:30:00,3,Discharging,00:37:00,00:57:00,738,Low,Rest,3.59,-0.88,35.6,1.076,7.72,76,Pack-01
2024-01-02 14:00:00,1,Rest,00:52:00,00:23:00,824,Low,CC,3.53,-1.83,28.9,2.073,3.39,77,Pack-01
2024-01-02 14:30:00,3,Rest,00:19:00,00:53:00,519,Medium,CC-CV,3.7,-0.33,26.9,1.496,8.31,78,Pack-01
2024-01-02 15:00:00,2,Discharging,00:10:00,00:55:00,589,High,Rest,4.04,0.95,27.7,1.864,7.55,79,Pack-01
2024-01-02 15:30:00,3,Discharging,00:42:00,00:42:00,788,Medium,CC-CV,3.53,1.31,33.9,0.641,8.5,80,Pack-01
2024-01-02 16:00:00,2,Discharging,00:41:00,00:18:00,433,High,CC-CV,3.8,0.71,23.8,1.592,3.72,81,Pack-01
2024-01-02 16:30:00,2,Discharging,00:50:00,00:18:00,832,Medium,Rest,3.87,1.45,22.4,1.246,8.34,82,Pack-01
2024-01-02 17:00:00,3,Charging,00:32:00,00:47:00,616,Medium,CC-CV,3.82,-1.83,33.9,0.867,3.06,83,Pack-01
2024-01-02 17:30:00,1,Rest,00:47:00,00:35:00,154,High,CC-CV,3.84,-1.27,33.0,0.872,5.67,84,Pack-01
2024-01-02 18:00:00,1,Charging,00:32:00,00:58:00,437,High,CC,4.19,0.4,28.4,0.862,8.37,85,Pack-01
2024-01-02 18:30:00,2,Rest,00:19:00,00:48:00,684,Medium,Rest,3.64,-0.86,22.2,1.862,2.94,86,Pack-01
2024-01-02 19:00:00,1,Discharging,00:43:00,00:42:00,700,Low,Rest,3.91,1.71,43.5,1.083,6.79,87,Pack-01
2024-01-02 19:30:00,3,Rest,00:23:00,00:12:00,947,Low,Rest,4.15,-0.12,27.9,2.099,6.42,88,Pack-01
2024-01-02 20:00:00,3,Discharging,00:50:00,00:11:00,395,High,Rest,3.97,-0.44,30.0,1.693,2.57,89,Pack-01
2024-01-02 20:30:00,3,Charging,00:22:00,00:35:00,350,High,CC,4.12,0.32,31.1,1.97,4.11,90,Pack-01
2024-01-02 21:00:00,1,Discharging,00:14:00,00:35:00,626,Medium,Rest,3.54,-0.08,44.2,2.09,8.6,91,Pack-01
2024-01-02 21:30:00,1,Charging,00:59:00,00:23:00,603,High,CC,3.84,-0.84,41.3,1.933,5.8,92,Pack-01
2024-01-02 22:00:00,3,Rest,00:48:00,00:24:00,349,High,Rest,3.63,-1.11,42.9,0.794,5.7,93,Pack-01
2024-01-02 22:30:00,1,Discharging,00:12:00,00:22:00,957,Low,CC-CV,3.54,1.83,44.7,1.766,8.11,94,Pack-01
2024-01-02 23:00:00,1,Discharging,00:27:00,00:46:00,29,High,Rest,3.72,0.78,41.8,1.692,6.39,95,Pack-01
2024-01-02 23:30:00,3,Charging,00:42:00,00:35:00,788,Low,CC-CV,3.92,-1.03,44.9,2.364,1.67,96,Pack-01
2024-01-03 00:00:00,1,Charging,00:38:00,00:13:00,551,Medium,CC,4.17,-1.2,40.7,2.128,1.37,97,Pack-01
2024-01-03 00:30:00,1,Rest,00:31:00,00:29:00,451,High,Rest,4.05,1.04,22.4,1.859,5.98,98,Pack-01
2024-01-03 01:00:00,2,Charging,00:22:00,00:40:00,614,Medium,CC,4.16,0.57,43.3,2.484,2.67,99,Pack-01
2024-01-03 01:30:00,3,Discharging,00:59:00,00:43:00,683,Low,Rest,4.0,0.37,43.9,2.378,3.0,100,Pack-01
2024-01-03 02:00:00,3,Charging,00:51:00,00:58:00,136,High,CC,3.87,0.44,38.2,2.176,7.71,101,Pack-01
2024-01-03 02:30:00,2,Discharging,00:59:00,00:28:00,209,Low,Rest,3.76,0.78,36.9,1.711,2.52,102,Pack-01
2024-01-03 03:00:00,2,Rest,00:17:00,00:25:00,980,High,CC,4.06,0.29,32.2,2.253,3.56,103,Pack-01
2024-01-03 03:30:00,1,Rest,00:59:00,00:20:00,13,Medium,CC,3.7,-1.28,29.7,1.125,2.97,104,Pack-01
2024-01-03 04:00:00,1,Discharging,00:53:00,00:31:00,236,Low,CC-CV,4.18,-0.96,33.7,1.912,6.46,105,Pack-01
2024-01-03 04:30:00,2,Charging,00:26:00,00:40:00,354,Low,CC,3.79,1.68,28.2,1.185,1.55,106,Pack-01
2024-01-03 05:00:00,1,Rest,00:40:00,00:13:00,702,High,Rest,3.75,-0.79,39.3,1.681,6.37,107,Pack-01
2024-01-03 05:30:00,3,Rest,00:30:00,00:26:00,176,Low,Rest,3.95,-1.57,36.2,1.27,3.7,108,Pack-01
2024-01-03 06:00:00,3,Rest,00:49:00,00:42:00,35,Low,CC,3.98,-1.07,36.4,1.502,8.68,109,Pack-01
2024-01-03 06:30:00,3,Charging,00:47:00,00:36:00,556,Medium,CC,4.15,0.04,22.7,0.803,8.18,110,Pack-01
2024-01-03 07:00:00,1,Discharging,00:49:00,00:19:00,157,High,CC,3.97,0.02,33.6,2.178,3.03,111,Pack-01
2024-01-03 07:30:00,1,Discharging,00:57:00,00:40:00,709,Medium,Rest,3.81,-1.83,41.6,1.038,6.42,112,Pack-01
2024-01-03 08:00:00,2,Discharging,00:31:00,00:19:00,592,High,CC-CV,4.17,1.61,27.2,1.771,6.45,113,Pack-01
2024-01-03 08:30:00,1,Charging,00:34:00,00:52:00,152,Low,Rest,3.58,-1.66,20.1,1.492,4.41,114,Pack-01
2024-01-03 09:00:00,1,Rest,00:43:00,00:43:00,118,Low,CC-CV,4.0,-1.31,30.6,1.406,8.28,115,Pack-01
2024-01-03 09:30:00,3,Rest,00:32:00,00:26:00,144,Medium,CC-CV,3.85,-1.51,30.0,1.812,6.21,116,Pack-01
2024-01-03 10:00:00,1,Charging,00:26:00,00:27:00,376,Low,CC-CV,3.92,-1.82,38.0,2.279,2.71,117,Pack-01
2024-01-03 10:30:00,2,Discharging,00:40:00,00:15:00,242,Medium,CC-CV,4.14,-0.53,40.3,2.359,6.44,118,Pack-01
2024-01-03 11:00:00,3,Charging,00:59:00,00:46:00,815,Medium,CC,3.54,1.05,31.1,1.927,8.84,119,Pack-01
2024-01-03 11:30:00,2,Charging,00:24:00,00:18:00,288,Medium,Rest,3.74,-1.83,43.6,2.36,6.45,120,Pack-01
2024-01-03 12:00:00,2,Charging,00:21:00,00:30:00,108,Low,CC-CV,4.16,0.65,23.2,1.086,5.65,121,Pack-01
2024-01-03 12:30:00,3,Charging,00:30:00,00:53:00,709,Medium,Rest,3.8,1.85,30.4,0.549,6.55,122,Pack-01
2024-01-03 13:00:00,2,Charging,00:30:00,00:38:00,926,Medium,CC-CV,4.12,-0.04,38.4,1.518,2.87,123,Pack-01
2024-01-03 13:30:00,1,Discharging,00:45:00,00:33:00,215,Low,CC-CV,3.8,0.93,20.2,0.595,4.87,124,Pack-01
2024-01-03 14:00:00,2,Charging,00:26:00,00:41:00,917,Low,CC,3.91,-1.4,33.3,2.375,2.97,125,Pack-01
2024-01-03 14:30:00,2,Discharging,00:56:00,00:47:00,311,Medium,CC-CV,3.83,-1.6,31.6,2.456,4.05,126,Pack-01
2024-01-03 15:00:00,3,Discharging,00:30:00,00:32:00,276,Medium,Rest,3.55,1.57,29.1,2.327,6.25,127,Pack-01
2024-01-03 15:30:00,3,Discharging,00:51:00,00:13:00,942,Medium,CC-CV,4.17,-0.61,22.4,1.205,6.65,128,Pack-01
2024-01-03 16:00:00,1,Charging,00:41:00,00:27:00,392,High,CC,3.64,-0.29,36.1,2.495,3.86,129,Pack-01
2024-01-03 16:30:00,2,Charging,00:38:00,00:43:00,546,Medium,Rest,4.04,-1.75,32.3,1.889,5.5,130,Pack-01
2024-01-03 17:00:00,1,Rest,00:27:00,00:50:00,723,High,CC,4.13,0.97,38.4,1.66,3.99,131,Pack-01
2024-01-03 17:30:00,3,Charging,00:18:00,00:11:00,935,High,Rest,4.19,-1.31,40.8,2.203,4.52,132,Pack-01
2024-01-03 18:00:00,1,Rest,00:18:00,00:47:00,938,Low,CC,3.52,1.63,35.7,1.433,2.33,133,Pack-01
2024-01-03 18:30:00,3,Charging,00:53:00,00:54:00,611,Medium,CC,4.14,-1.88,32.7,0.812,1.99,134,Pack-01
2024-01-03 19:00:00,1,Charging,00:50:00,00:39:00,5,Medium,CC-CV,3.78,-0.15,37.6,0.817,2.28,135,Pack-01
2024-01-03 19:30:00,3,Discharging,00:52:00,00:15:00,872,High,CC,3.81,-0.2,30.5,1.991,4.77,136,Pack-01
2024-01-03 20:00:00,1,Charging,00:12:00,00:33:00,223,Low,CC,4.08,-0.83,21.8,1.749,6.45,137,Pack-01
2024-01-03 20:30:00,1,Rest,00:43:00,00:48:00,879,Medium,CC-CV,3.58,0.46,41.3,1.202,8.41,138,Pack-01
2024-01-03 21:00:00,3,Discharging,00:50:00,00:45:00,688,Medium,CC,3.68,-1.42,34.0,2.388,2.82,139,Pack-01
2024-01-03 21:30:00,1,Charging,00:47:00,00:19:00,567,Medium,CC-CV,4.05,-1.96,33.7,1.549,8.08,140,Pack-01
2024-01-03 22:00:00,2,Discharging,00:29:00,00:20:00,56,High,Rest,3.97,-1.53,27.6,2.313,7.46,141,Pack-01
2024-01-03 22:30:00,2,Rest,00:24:00,00:16:00,702,Low,CC-CV,3.51,-1.65,20.5,1.74,6.56,142,Pack-01
2024-01-03 23:00:00,1,Discharging,00:58:00,00:44:00,5,Low,CC-CV,3.96,1.51,26.0,1.411,3.86,143,Pack-01
2024-01-03 23:30:00,3,Charging,00:10:00,00:54:00,281,Low,Rest,3.63,1.07,33.0,0.726,5.34,144,Pack-01
2024-01-04 00:00:00,1,Discharging,00:40:00,00:16:00,136,Low,CC-CV,4.14,-1.2,23.6,1.495,3.62,145,Pack-01
2024-01-04 00:30:00,3,Rest,00:50:00,00:21:00,704,Low,CC,3.9,0.19,35.9,1.189,4.02,146,Pack-01
2024-01-04 01:00:00,2,Rest,00:17:00,00:48:00,918,Low,CC-CV,3.78,1.66,35.6,0.835,9.14,147,Pack-01
2024-01-04 01:30:00,1,Discharging,00:24:00,00:14:00,3,Low,Rest,3.75,-0.98,20.3,2.481,8.23,148,Pack-01
2024-01-04 02:00:00,1,Rest,00:25:00,00:50:00,519,Medium,CC,4.16,0.62,40.3,1.613,6.95,149,Pack-01
2024-01-04 02:30:00,3,Discharging,00:11:00,00:47:00,840,Low,CC-CV,3.89,-0.4,22.7,1.643,3.1,150,Pack-01
2024-01-04 03:00:00,2,Charging,00:52:00,00:23:00,465,High,CC,3.74,-1.35,22.0,1.023,9.1,151,Pack-01
2024-01-04 03:30:00,3,Discharging,00:31:00,00:46:00,330,High,CC,3.92,0.39,27.2,1.998,7.79,152,Pack-01
2024-01-04 04:00:00,1,Rest,00:47:00,00:20:00,359,Medium,CC,3.74,1.11,20.3,0.549,5.76,153,Pack-01
2024-01-04 04:30:00,3,Charging,00:58:00,00:35:00,542,Medium,CC-CV,3.78,-1.52,27.7,2.493,9.55,154,Pack-01
2024-01-04 05:00:00,2,Discharging,00:48:00,00:24:00,788,High,Rest,3.81,-1.78,21.0,2.35,10.0,155,Pack-01
2024-01-04 05:30:00,1,Charging,00:39:00,00:18:00,628,Medium,CC-CV,3.84,-1.1,20.7,2.103,3.57,156,Pack-01
2024-01-04 06:00:00,1,Charging,00:25:00,00:28:00,641,High,CC-CV,4.12,-0.79,22.6,1.008,4.73,157,Pack-01
2024-01-04 06:30:00,1,Charging,00:59:00,00:40:00,360,Low,CC-CV,3.8,-0.77,24.0,0.68,7.95,158,Pack-01
2024-01-04 07:00:00,1,Discharging,00:44:00,00:38:00,523,High,CC-CV,3.51,-0.68,28.2,1.841,1.95,159,Pack-01
2024-01-04 07:30:00,3,Charging,00:57:00,00:48:00,167,Low,Rest,3.59,0.92,43.4,1.805,8.48,160,Pack-01
2024-01-04 08:00:00,3,Charging,00:19:00,00:23:00,509,Medium,CC,3.81,1.95,29.6,2.307,6.73,161,Pack-01
2024-01-04 08:30:00,1,Discharging,00:28:00,00:51:00,916,Medium,CC,4.12,0.32,43.8,1.365,4.36,162,Pack-01
2024-01-04 09:00:00,2,Charging,00:45:00,00:35:00,51,High,CC,3.9,0.72,34.1,1.645,8.03,163,Pack-01
2024-01-04 09:30:00,2,Rest,00:34:00,00:56:00,272,High,CC,4.06,0.94,42.9,1.689,9.83,164,Pack-01
2024-01-04 10:00:00,1,Charging,00:31:00,00:26:00,936,Low,CC-CV,4.19,0.11,30.1,0.76,5.93,165,Pack-01
2024-01-04 10:30:00,3,Discharging,00:36:00,00:12:00,46,Medium,CC-CV,3.81,0.13,37.4,2.458,7.44,166,Pack-01
2024-01-04 11:00:00,1,Rest,00:23:00,00:55:00,820,Low,Rest,3.55,1.86,29.8,1.042,1.34,167,Pack-01
2024-01-04 11:30:00,2,Charging,00:27:00,00:55:00,846,Low,Rest,3.55,1.63,37.1,1.033,1.49,168,Pack-01
2024-01-04 12:00:00,3,Rest,00:59:00,00:39:00,155,Low,CC-CV,4.0,-0.96,41.2,1.915,4.96,169,Pack-01
2024-01-04 12:30:00,1,Charging,00:18:00,00:51:00,276,High,CC-CV,3.97,-1.85,28.1,2.003,4.07,170,Pack-01
2024-01-04 13:00:00,1,Discharging,00:39:00,00:50:00,215,Low,CC-CV,3.64,1.18,34.9,1.187,4.59,171,Pack-01
2024-01-04 13:30:00,3,Rest,00:17:00,00:54:00,160,Medium,Rest,4.12,-1.86,34.2,1.977,4.92,172,Pack-01
2024-01-04 14:00:00,3,Rest,00:54:00,00:50:00,772,Low,CC-CV,4.01,0.39,42.1,2.005,5.27,173,Pack-01
2024-01-04 14:30:00,2,Rest,00:25:00,00:21:00,802,High,CC,3.53,1.9,35.6,0.578,6.87,174,Pack-01
2024-01-04 15:00:00,1,Rest,00:38:00,00:49:00,958,Medium,CC,3.93,1.96,36.6,1.112,5.71,175,Pack-01
2024-01-04 15:30:00,3,Charging,00:17:00,00:41:00,483,Low,Rest,3.9,1.69,23.3,1.355,6.33,176,Pack-01
2024-01-04 16:00:00,2,Charging,00:24:00,00:17:00,929,High,Rest,3.87,1.4,27.7,0.55,9.01,177,Pack-01
2024-01-04 16:30:00,2,Rest,00:35:00,00:49:00,41,Medium,Rest,4.1,-1.36,25.7,1.117,9.65,178,Pack-01
2024-01-04 17:00:00,2,Rest,00:46:00,00:32:00,54,High,Rest,3.82,0.34,40.2,1.741,1.1,179,Pack-01
2024-01-04 17:30:00,1,Charging,00:44:00,00:12:00,884,Medium,CC-CV,4.11,-0.46,36.3,1.54,3.46,180,Pack-01
2024-01-04 18:00:00,1,Charging,00:20:00,00:42:00,941,Low,CC,3.65,-1.69,33.8,1.938,2.54,181,Pack-01
2024-01-04 18:30:00,2,Discharging,00:55:00,00:39:00,559,High,CC-CV,3.91,-1.58,34.0,0.582,3.63,182,Pack-01
2024-01-04 19:00:00,1,Discharging,00:25:00,00:24:00,496,Low,Rest,3.92,1.18,31.4,1.759,8.9,183,Pack-01
2024-01-04 19:30:00,1,Rest,00:40:00,00:36:00,555,High,CC,4.11,-0.75,34.1,1.442,2.14,184,Pack-01
2024-01-04 20:00:00,2,Charging,00:42:00,00:22:00,630,Medium,CC-CV,3.91,1.25,43.8,1.289,9.25,185,Pack-01
2024-01-04 20:30:00,3,Charging,00:12:00,00:24:00,333,Low,CC-CV,4.06,0.24,27.5,1.779,9.79,186,Pack-01
2024-01-04 21:00:00,3,Charging,00:39:00,00:33:00,566,Medium,CC,3.76,-0.17,38.1,1.679,4.37,187,Pack-01
2024-01-04 21:30:00,2,Rest,00:48:00,00:50:00,350,Medium,Rest,4.03,-1.65,34.2,2.389,7.22,188,Pack-01
2024-01-04 22:00:00,2,Charging,00:12:00,00:53:00,425,High,Rest,3.66,1.81,23.6,2.116,2.23,189,Pack-01
2024-01-04 22:30:00,1,Rest,00:52:00,00:23:00,416,High,Rest,3.54,0.01,40.2,1.086,3.85,190,Pack-01
2024-01-04 23:00:00,1,Charging,00:59:00,00:54:00,150,High,Rest,3.85,-0.39,22.7,0.762,5.74,191,Pack-01
2024-01-04 23:30:00,2,Rest,00:52:00,00:11:00,395,High,CC-CV,3.81,-1.86,39.2,0.975,2.15,192,Pack-01
2024-01-05 00:00:00,3,Discharging,00:59:00,00:29:00,694,High,CC-CV,3.91,0.74,34.6,1.208,4.7,193,Pack-01
2024-01-05 00:30:00,3,Charging,00:27:00,00:17:00,987,High,CC,3.98,-0.52,26.5,2.162,2.74,194,Pack-01
2024-01-05 01:00:00,2,Discharging,00:11:00,00:45:00,572,High,Rest,3.77,0.64,27.9,1.597,7.13,195,Pack-01
2024-01-05 01:30:00,1,Discharging,00:58:00,00:22:00,570,Medium,CC,3.89,0.89,39.0,2.103,6.88,196,Pack-01
2024-01-05 02:00:00,2,Charging,00:42:00,00:30:00,512,Low,CC-CV,3.66,-0.84,35.2,1.601,1.32,197,Pack-01
2024-01-05 02:30:00,2,Rest,00:49:00,00:40:00,793,High,CC-CV,3.77,1.08,21.8,0.84,9.36,198,Pack-01
2024-01-05 03:00:00,1,Discharging,00:50:00,00:11:00,842,Low,Rest,3.6,-1.48,33.4,1.623,9.76,199,Pack-01
